Seq	Clump	VLSR	DV	e_DV	taumain	e_taumain	Tex	e_Tex	Trot	e_Trot	Tkin	e_Tkin	Bff	logN(NH3)	<logN(NH3)>	log(N(NH3)/N(H2))	<log(N(NH3)/N(H2))>	Notes	Simbad
1	G010.283-00.118	 14.2	 2.4	 2.5	 4.0	 3.4	 7.0	 4.4	17.0	17.1	18.8	18.9	 0.26	15.35	15.10	-7.50	-7.52	 	Simbad
1	G010.288-00.166	 12.2	 1.8	 1.9	 3.9	 2.9	 4.8	 4.1	15.7	16.3	17.1	17.9	 0.25	15.05	14.96	-7.45	-7.35	 	Simbad
1	G010.296-00.148	 13.6	 4.2	 3.8	 1.3	 1.6	 7.6	 4.8	21.2	19.9	24.6	22.8	 0.24	15.22	15.09	-7.71	-7.51	 	Simbad
2	G010.300-00.271	 29.1	 4.8	 3.5	 2.3	 1.8	 3.9	 4.0	15.7	15.5	17.1	16.8	 0.26	15.18	14.90	-7.35	-7.32	2	Simbad
2	G010.322-00.229	 32.8	 1.9	 2.0	 3.8	 3.3	 3.9	 3.6	14.9	14.8	16.1	15.9	 0.24	14.98	14.90	-7.46	-7.33	 	Simbad
2	G010.322-00.257	 32.8	 2.8	 2.5	 2.8	 2.3	 4.3	 3.9	16.7	16.1	18.4	17.7	 0.24	15.08	14.88	-7.66	-7.40	 	Simbad
1	G010.323-00.165	 12.6	 1.7	 1.8	 3.2	 2.8	 6.2	 4.8	18.3	18.0	20.6	20.1	 0.27	15.08	14.95	-7.73	-7.67	 	Simbad
1	G010.346-00.148	 12.2	 1.8	 2.0	 3.2	 2.7	 6.8	 5.3	18.1	18.9	20.2	21.3	 0.28	15.13	15.01	-7.50	-7.64	 	Simbad
3	G010.440+00.003	 67.3	 3.7	 3.7	 1.9	 1.9	 3.6	 3.6	14.9	15.0	16.1	16.2	 0.24	14.94	14.90	-7.53	-7.54	 	Simbad
3	G010.474+00.028	 67.2	 5.8	 4.1	 5.6	 3.6	 5.5	 4.0	21.5	18.2	25.1	20.4	 0.22	15.84	15.32	-7.75	-7.25	2	Simbad
4	G010.625-00.339	 -4.3	 2.3	 2.3	 5.9	 4.4	 7.2	 5.4	16.5	16.5	18.1	18.1	 0.33	15.51	15.27	-7.26	-7.21	 	Simbad
4	G010.625-00.375	 -2.0	 3.7	 3.6	 0.4	 0.4	23.7	15.1	20.5	20.5	23.7	23.6	 0.74	15.06	14.99	-7.47	-7.38	2	Simbad
4	G010.630-00.389	 -3.1	 4.5	 2.2	 0.3	 1.0	26.0	 9.4	22.0	19.7	25.8	22.4	 0.48	15.04	14.95	-7.35	-7.44	2	Simbad
5	G010.990-00.083	 29.9	 1.7	 1.5	 7.6	 6.0	 5.4	 4.1	11.7	11.8	12.2	12.3	 0.35	15.33	15.05	-7.30	-7.18	2	Simbad
6	G011.072-00.384	 -0.1	 1.5	 1.5	 5.5	 4.7	 4.0	 3.6	15.2	15.1	16.5	16.4	 0.24	15.04	14.96	-7.58	-7.50	 	Simbad
6	G011.108-00.394	  0.6	 2.5	 2.4	 3.7	 3.4	 4.3	 3.8	16.0	14.3	17.4	15.3	 0.27	15.14	15.03	-7.74	-7.53	 	Simbad
6	G011.118-00.409	 -0.9	 1.7	 1.7	 4.6	 3.9	 4.4	 3.8	14.5	14.4	15.6	15.4	 0.27	15.06	14.99	-7.68	-7.58	 	Simbad
7	G011.501-01.482	 10.7	 1.6	 1.5	 1.6	 1.5	 5.2	 4.4	17.0	16.2	18.8	17.7	 0.27	14.66	14.53	-8.22	-8.06	1	Simbad
