Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv  Sum(T)  Npix
1   477   224   631   3.58   6.84   6.60   7.92  12.68 2371.11  3338    
2   257   108   591   3.55   7.55   7.02   8.02   8.86 2249.01  2753    
3   478   221   632   3.51   6.91   6.26   8.00  12.46 2465.62  3177    
4   260   111   580   3.35  10.55  10.87  12.89   8.13 4170.72  6943    
5   475   262   543   3.30   8.02   8.73   8.50   6.23 2038.34  3103    
6   259   110   587   3.27   7.65   8.57   8.87   4.69 1379.40   972    
7   184    82   600   3.22   9.73   8.64   9.62   8.75 3445.50  5842    
8   358   298   543   3.22  10.98  13.71  14.35  12.56 8370.50  ****    
9   172    75   597   2.98  17.45   7.97  11.62   9.46 4267.32  8300    
10   383   294   553   2.82   9.32   7.31   8.87  11.64 3247.26  4403    
11   428    45   395   2.81   8.97   2.44   4.22   9.28  794.23  1326    
12   205   337   549   2.79   7.72   8.73   9.03   8.08 2176.35  4016    
13   396   321   558   2.68   9.95  10.36  11.18  10.53 3927.21  7194    
14   110   352   681   2.62   7.58  11.87   8.46  15.89 3304.09  7956    
15   390   285   546   2.53   7.57   9.29  11.07   9.88 2670.02  3612    
16   406   245   651   2.46   6.64   6.08   6.13   9.61 1414.83  2742    
17   384   284   549   2.45   7.59   8.45   9.72  10.45 2258.44  3393    
18   100    98   588   2.42  11.67   8.31  10.39  12.84 2910.25  8287    
19   593   219   626   2.36   6.18   5.33   5.14   7.57  829.33  1526
20   401   290   555   2.35  11.24   8.93  11.74  12.59 4133.56  7072    
21   201   275   629   2.33   7.96   5.77   6.48  10.58 1614.05  3290    
22   255   115   592   2.27   6.76   7.04   8.96  10.55 1439.56  2931    
23   210   268   673   2.25   4.79   6.15   5.08  14.25 1534.95  2255    
24   246   115   589   2.24  10.08   8.97   9.98  11.44 3569.53  6095    
25   274    86   595   2.23   7.85  13.38   9.64   7.64 2487.55  5183    
26   293   168   525   2.19   8.12   8.16   8.10   6.57 1257.36  2917    
27   545   294   560   2.18   8.04   8.32   7.72   6.62 1287.54  3047    
28   510   248   644   2.15   5.26   5.68   5.56  11.55 1195.64  2231    
29   482   206   645   2.14   5.56  11.01   8.72   9.93 1403.15  3625    
30   109   468   588   2.14   7.47   6.92   7.20  12.55 1769.54  3705    
31   462   254   539   2.11  11.83   4.78   6.93   6.42 1179.04  2014    
32   329    54   384   2.08   5.20   6.46   5.56   6.34  618.91  1348    
33   435   150   550   2.08   7.56   5.07   7.33  10.19 1116.99  1813    
34   368   275   549   2.03  10.76  11.76  11.01  11.01 3180.25  6321    
35   376   284   553   2.01  10.84   9.16  10.39  10.39 2363.55  4833    
36   433   155   553   2.00   7.06   6.22   7.69   9.75 1004.95  1800    
37   320   366   659   1.93  14.65  10.40  10.93   9.30 2660.84  6681    
38   436   145   548   1.92   6.20   6.80   7.00   9.32 1046.69  2335    
39   271   109   586   1.84   7.26   9.76   8.76   8.78 1529.29  3123    
40   430   159   556   1.83   5.96   6.45   7.80   8.70  757.78  1564    
41   507   355   601   1.81   5.19   2.39   3.34   8.24  321.17   724    
