Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
1   351    96   476   3.12  13.44  11.61  12.96  13.39    5805.80    7225    
2   295     6   654   2.81   1.87   2.41   1.87   0.00      27.72      11    
3   294     4   377   2.62   2.21   3.73   1.95   0.69      26.63      19   
4   165   303   516   2.31  11.06  17.03  12.68  14.98    4139.33    6680    
5   294    34   650   1.76   1.18   2.63   1.60   0.61      14.38      12    
6   537    95   366   1.74   9.70  23.17  11.56  18.88    4102.22    8158    
7   406    51   377   1.69  10.43   8.97   9.37   6.61    1142.35    2176    
8    17     0   540   1.62   1.18   2.62   1.60   1.54      21.78      24   
9   293    42   470   1.53   1.18   3.31   1.78   1.18      27.38      20    
10   319   123   375   1.52   5.44   6.41   6.10   9.02     725.25    1289    
11   115   299   490   1.37   9.99  10.20   9.37  15.70    1414.87    3056    
12   255   172   368   1.36   7.61   6.89   7.61  15.62    1433.79    3171    
13   514    56   501   1.33   6.22   4.88   5.20   3.60     240.22     459    
14    43   163   519   1.33   5.90   8.10   6.84   8.09     853.92    1569    
15   406     0   502   1.30  27.59  10.23  11.64   7.67    2013.78    3816   
16   294    15   488   1.26   1.17   2.58   1.60   0.62       8.84      11    
17   445     4   450   1.25   1.15   3.78   1.87   0.87      14.51      18   
18   444   182   450   1.23   8.13   7.21   6.75   6.14     602.39    1203    
19   540   167   447   1.22   5.71  14.45   8.57  21.21    1779.59    3798    
20   561   190   468   1.22  16.67  21.53  14.31  22.14    2852.47    7251    
21   518   356   735   1.22   1.63   0.66   1.13   6.95      14.25      32    
22   130   121   598   1.21   1.14   2.54   1.49   1.29       8.85      15    
23   289   360   207   1.21   1.37   1.18   1.13   5.28       8.74      24    
24   481   106   350   1.19   9.52  16.95  10.69  17.53    3114.96    6743    
25    87   244   411   1.17  17.58   6.34   8.52  17.14    1199.59    2734    
26   458   143   479   1.17  20.49   6.99   9.67   5.91     999.19    2007    
27    49   121   702   1.15   1.58   2.38   1.49   1.94       8.63      13    
28   127   120   671   1.14   0.76   3.50   1.38   1.22       8.62      13    
29   173   120   706   1.11   1.83   3.00   2.03   0.82      12.83      19    
30   116   118   426   1.10   1.05   2.48   1.38   1.07       7.77      12    
31   208   119   647   1.07   2.37   3.39   1.87   0.00       8.36      11    
32   295    13   560   1.06   1.17   3.26   1.38   1.85      11.94      18    
33   124   120   633   1.06   2.59   5.70   3.04   3.54      95.56     167    
34   455     3   565   1.05   2.80   2.39   1.69   0.92       8.33      14    
35   228   124   637   1.02   1.07   2.38   1.49   0.96       7.22      11    
36   362   374   410   1.02   1.17   1.91   1.38   1.13       7.64      12    
37   361     1   501   1.01   0.91   2.95   1.38   1.32       7.64      14   
38   450     4   429   1.01   0.87   2.29   1.26   1.35       6.31      12    
39   470   183   453   1.00   6.16   6.37   5.94   7.06     445.36    1053    
40   224   193   450   0.99  14.82  12.84   9.92  13.10    1118.65    2939    
41   456     8   292   0.99   1.63   3.08   1.87   0.39       7.38      12    
42   567     6   300   0.99   1.57   2.23   1.60   0.80       7.66      12    
43   352     6   541   0.99   -NaN   2.56   1.13   1.47       5.73      11    
44   538     0   559   0.97   1.76   1.09   1.13   1.84       6.45      11   
45   393     3   247   0.96   0.45   2.43   1.13   9.11      22.61      36    
46   128   120   663   0.95   0.00   2.74   1.13   1.89       6.22      11    
47   609   218   282   0.95   3.61   4.58   3.66   3.88     108.29     245   
48   489     7   314   0.95   2.09   3.67   1.95   0.64       9.35      15    
49   530   224   460   0.93   5.41   4.98   4.89   5.14     237.94     558    
50    38   119   647   0.93   1.52   1.64   1.38   1.47       8.19      15    
51    76   317   536   0.92   6.47   6.57   5.84   5.29     278.94     670    
52   204   120   479   0.92   2.46   3.72   1.87   4.48      12.12      24    
53   370     7   510   0.90   1.54   4.23   2.19   4.91      47.40      94   
54   339     3   688   0.89   -NaN   1.04   0.98   8.55      12.77      22    
55   430     4   501   0.89   1.75   2.19   1.69   4.26      14.65      27   
56   475     0   262   0.88   0.89   1.14   0.98   2.95       6.81      12   
57   294   375   488   0.87   1.15   2.74   1.26   3.12       7.63      15    
58   324   187   494   0.87   9.03   5.26   6.26   9.65     423.22    1091    
59   291   160   434   0.87  21.48  11.56  11.71  14.80    1637.72    4241    
60   464   117   354   0.87   2.14   2.57   1.69   3.05       8.66      19    
61   536   376   738   0.86   0.00   0.00   0.56  12.83      13.29      23    
