Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
1   477   224   631   3.58  14.34  23.56  15.85  16.04    7591.61   10158    
2   257   108   591   3.55  32.25  28.53  23.76   9.45   11821.67   15969    
3   260   111   580   3.35  21.22  12.85  18.77   9.57    7377.00    9379    
4   475   262   543   3.30  20.84  10.82  13.87   7.49    4035.45    5211    
5   184    82   600   3.22  25.86  13.84  17.17   9.44    7658.04    9779    
6   358   298   543   3.22  41.54  38.61  38.90  15.92   39407.81   59608    
7   428    45   395   2.81   9.92   2.63   4.95   8.37     830.96    1019    
8   205   337   549   2.79  16.56  15.18  16.86   7.46    4228.76    7338    
9   110   352   681   2.62   9.12  14.16  11.33  13.90    3399.86    5811    
10   406   245   651   2.46   7.61  11.87   8.74   8.68    1684.97    2688    
11   100    98   588   2.42  11.90   8.24  12.18  11.03    2682.05    4616    
12   593   219   626   2.36   6.83   7.38   6.89   6.57    1040.47    1542   
13   201   275   629   2.33  18.01   9.27   9.90  11.35    2341.30    3995    
14   210   268   673   2.25  32.02  14.11  15.76  21.54    5502.03   10317    
15   293   168   525   2.19  25.75  14.69  14.81   6.61    2371.23    4393    
16   545   294   560   2.18   9.19   9.28   9.62   5.62    1396.15    2416    
17   510   248   644   2.15   7.48  12.65   9.84  10.77    2011.68    3622    
18   109   468   588   2.14  12.25   8.65  10.88  11.29    2126.36    3808    
19   329    54   384   2.08   6.53  12.69   8.72   6.41    1166.10    1851    
20   435   150   550   2.08  17.24  23.90  15.53  14.40    6190.90   10385    
21   320   366   659   1.93  58.35  22.46  23.23   8.68    6025.43   13291    
22   507   355   601   1.81   5.88   6.07   6.38   6.89     782.52    1291    
23   327   245   648   1.78  26.51   6.72  12.80   5.56    2316.03    3984    
24   574   177   539   1.67  12.35  20.33  12.79   6.82    2050.97    4252    
25   597   345   541   1.67   4.06   5.60   4.18   3.57     154.98     305   
26   459   253   687   1.61   5.21   7.30   4.85   5.61     395.09     595    
27   230    96   468   1.56   9.51   5.77   7.61   5.06     610.39    1198    
28   112   409   567   1.49  10.01  12.07  10.22   8.90    1440.06    3069    
29   408    69   510   1.47  10.22   5.61   7.29   5.45     648.03    1288    
30    13   293   564   1.46   8.92   6.01   7.25   3.79     436.74     876    
31    67   238   660   1.39   7.67   6.02   8.16   8.29     810.96    1745    
32    90   288   654   1.35  12.44  13.15  11.91  18.67    2830.84    5979    
33   417   150   524   1.31   7.73  18.63   9.74   5.43     864.76    1954    
34   168   337   655   1.29  20.98   9.58  10.85   9.00    1336.60    2882    
35    43   262   377   1.29   5.90   4.36   4.72   5.67     265.90     547    
36    44   485   635   1.26  12.53   5.17   7.20   7.01     684.16    1468    
37   326   165   523   1.24  15.79   9.81   9.24   4.65     875.93    1796    
38   424   246   375   1.24   9.37  11.24   9.44  16.08    1378.88    3074    
39   539   220   382   1.22  15.76  23.46  11.14   9.34    1580.63    3659    
40   115   238   654   1.21   6.99   5.94   7.14   7.42     634.34    1486    
41   505   177   538   1.21   5.57   6.07   5.59   5.25     321.95     686    
42   127   392   694   1.20  13.09   9.63   8.56  15.81     990.40    2708    
43    44   114   637   1.20  11.09   7.07   9.32   7.52     981.14    2390    
44   248    46   597   1.20  11.13  11.21   8.63   8.90    1167.62    2548    
45   523   142   293   1.17   1.15   1.03   0.98   5.83       7.74      17    
46   398   226   328   1.15   6.79   8.06   7.20   8.93     960.31    1918    
47   554   322   518   1.13   5.79   4.45   4.98   5.62     255.01     593    
48   313    83   391   1.12   8.40   7.85   6.58   5.12     334.65     840    
49   239    52   521   1.11   9.27   6.84   7.36   3.23     405.06     834    
50   135   356   687   1.11   5.39   7.75   6.10  13.20     698.86    1576    
51     5   266   639   1.11   1.95   4.62   2.11   6.92      49.60     109    
52   597   417   643   1.09   2.27   6.54   3.57   4.57     127.03     265   
53    96   126   584   1.08   6.67   5.35   6.18   5.91     387.37     982    
54   488   224   684   1.07   5.16   5.89   4.89   5.40     207.72     474    
55    73   297   624   1.04   4.57   4.23   4.18   4.36     174.31     360    
56   358   376   620   1.03   5.93  10.89   6.02   7.88     445.27    1112    
57   579   215   621   1.02   7.06   7.13   6.31   5.98     429.57    1003    
58     4   271   639   1.02   3.17   7.91   3.83   6.44      80.35     255   
59   298   260   653   1.02   7.33   7.59   7.18   5.96     398.99    1013    
60    74   303   415   1.02   6.84  17.75   9.42  10.39     709.13    1806    
61    99   266   744   1.01   1.99   1.05   1.13   1.85       5.94      10    
62   212   208   528   1.01  14.65  13.11  10.05   4.41     597.49    1535    
63   143   285   396   1.01   5.58   5.40   5.64   5.98     299.87     743    
64   458   277   688   1.00   8.68   7.32   7.16   8.84     705.32    1607    
65   370    61   392   0.99   6.06   5.36   5.20   5.09     260.44     584    
66   385    46   532   0.98   4.77   6.21   4.03   3.22     119.98     244    
67   592    75   355   0.98   2.35   1.46   1.49   0.46       5.28       8    
68    78   266   346   0.95   1.13   1.00   0.98   1.27       3.38       7    
69   348   226   566   0.95   4.87   8.09   5.75   3.85     248.98     587    
70    73   266   551   0.95   3.18   3.99   2.39   4.14      34.06      72    
71    90   114   636   0.94   8.30   8.03   8.14  10.82     606.19    1782    
72   114   278   401   0.94   8.36   6.83   7.18   7.82     603.33    1492    
73   381   185   672   0.94   4.23   7.46   5.14   3.67     179.04     425    
74   527   443   320   0.93  17.52   7.88   9.71  13.07    1087.77    2750    
75   257    48   522   0.93  13.14  11.03   7.96   9.57     380.14    1053    
76   520   365   600   0.92   5.45   5.77   5.23   3.81     161.12     414    
77   336    65   402   0.90   6.16   3.81   4.15   3.75     116.93     276    
78   124   334   414   0.90   5.53   4.38   4.75   3.90     161.71     385    
79   591   154   303   0.88   1.18   1.18   1.13  14.86      28.68      51    
80   486   258   695   0.88   3.82   5.06   3.83   4.46     137.22     320    
81   403   260   653   0.88   7.26  10.09   7.25   6.68     449.33    1171    
82    33   265   396   0.87   1.18   1.82   1.13   1.34       4.34       9    
