Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
1     6    17   163   3.67   0.00   0.00   0.56  12.84      52.31      28    
2     8    15   163   3.67   0.00   -NaN   0.56  12.85      52.31      28    
3     5    76   154   2.36   -NaN   0.80   0.80   7.57      24.18      19    
4     5    49   186   2.32   1.72   1.01   1.60   8.99      28.79      51    
5     5    54   145   1.89   1.53   1.94   1.69   3.25      14.55      22    
6     5    67   187   1.54   1.47   1.76   1.38   1.64      12.24      18    
7     5    82   197   1.50   1.49   1.16   1.38   5.84      26.70      46    
8     6    19   138   1.50   1.78   3.07   2.03   8.11      97.18     145    
9     5    80   182   1.39   2.49   1.05   1.26   4.14       7.39      16    
10     5    77   200   1.32   1.61   0.00   0.98  12.11      13.87      26    
11   199    14   189   1.22   0.00   -NaN   0.56   6.52       9.51      12    
12    81    79   168   1.06  17.67  10.46  13.26  12.33    1671.06    4758    
13     6    21   173   1.02   1.93   1.02   0.98   6.80      18.50      34    
14     6    99   158   0.94   1.16   1.18   1.13   3.33      12.09      24    
15   175    61   194   0.93  27.06  20.79  13.27  16.63    2216.32    6121    
16   101    60   184   0.55  22.87  17.78  12.62  20.64    1211.07    4449    
17    10    14   176   0.53   2.51   2.60   1.49   2.06       4.58      17    
18     5    34   155   0.53   3.47   1.68   2.26   5.20      34.88     111    
19     9    22   202   0.47   1.16   0.00   0.80  11.99       6.35      18    
20     6    37   197   0.47   2.92   1.50   1.87   6.76      29.06      93    
21   205   106   234   0.43   1.74   1.62   1.38   1.17       4.15      12    
22     8    21   160   0.43   1.91   0.00   1.13   9.47       5.39      17    
23     6    42   180   0.42   2.45   1.14   1.60   2.32       7.31      25    
24     6    75   181   0.41   1.55   1.27   1.26   4.18       7.01      24    
25   204    35   156   0.40   1.12   1.71   1.26   6.39      10.48      36    
26     7    88   187   0.40   1.59   1.83   1.38   5.06       8.76      32    
27   205    90   197   0.40   1.90   0.00   0.98   2.62       3.10      11    
28    90     7   163   0.39   1.18   0.00   0.80   5.51       5.68      18    
29     8    99   170   0.39   1.76   1.50   1.60   5.55      12.13      46    
30   205    45   207   0.38   2.23   1.17   1.49   3.66       9.01      35    
31    77     7   213   0.38   1.24   2.78   1.60   4.25      10.61      43    
32    95     7   241   0.37   1.17   3.70   1.60   1.77       3.63      12    
33   189    12   212   0.36   1.44   1.65   1.38   3.98       8.85      33    
34    57    67   167   0.35   6.11   8.45   5.44  10.83     149.30     631    
35    46     7   184   0.35   1.09   3.42   1.69   3.77       6.88      28    
36    10    23   176   0.34   1.14   -NaN   0.80   4.60       3.73      14    
37   203    23   218   0.34   2.04   1.78   1.38   6.22      11.40      44    
38   100    27   185   0.33   7.35   4.77   5.26   5.05     129.59     530    
39    42   119   179   0.33   1.18   4.28   1.87   1.44       4.23      16   
40    33     7   151   0.32   0.00   1.95   0.98   3.49       4.12      16    
41   205    50   239   0.32   1.92   1.80   1.69   3.12       9.17      37    
42    32     7   223   0.32   1.14   2.77   1.38   3.05       6.61      26    
43    93     8   207   0.32   0.65   2.47   1.26   3.14       4.92      20    
44    11    13   218   0.32   2.84   2.92   2.52   3.11      24.41      94    
45   202    26   178   0.31   1.80   1.19   1.49   3.74       5.01      21    
46   104    61   171   0.30   2.44   2.87   2.46   3.62      21.42      90    
47    61     7   172   0.30   0.58   4.10   1.49   1.38       3.11      13    
48    36    64   167   0.29   4.72   4.01   3.99   3.89      50.86     224    
49    48   119   193   0.28   -NaN   2.88   1.26   3.30       4.71      20   
50    79    10   170   0.27   1.81   3.36   2.03   6.03      14.19      61    
51   203    22   190   0.27   1.18   1.18   0.80   5.17       3.88      16    
52    69     7   158   0.27   0.00   3.04   1.26   2.12       3.18      14    
53    90     8   135   0.27   0.00   2.62   1.13   2.56       3.87      16    
54    58     7   183   0.26   1.16   3.76   1.38   2.60       4.48      20    
55   203    34   188   0.26   1.18   1.16   0.98   3.55       2.76      12    
56    33    10   198   0.26   -NaN   3.25   1.26   3.07       4.24      19    
57    70     7   175   0.26   1.15   3.37   1.78   1.99       5.17      23    
58   185    83   176   0.26   1.58   2.01   1.69   2.29       5.20      23    
59    35     7   238   0.25   0.00   3.08   1.26   2.05       2.36      11    
60    69   119   190   0.25   0.00   3.03   1.26   2.23       3.12      14   
61    60     8   156   0.25   0.00   2.55   1.13   2.18       2.97      13    
62   200    23   204   0.24   1.80   1.17   1.13   4.54       5.68      26    
63    58     9   163   0.23   0.00   1.92   0.98   2.78       2.65      12    
64    44    68   171   0.21   1.16   1.11   1.13   2.76       2.46      12    
65   204    65   180   0.21   2.99   3.17   2.59   1.18       8.18      40
