Tile            Min_Peak            Max_Peak        Median_RMS
L10                 0.663             7.572             0.203
L10_5               0.545             7.572             0.167
L11                 0.545             4.314             0.135
L11_5               0.551             4.032             0.145
L12                 0.484             3.711             0.135
L12_5               0.484             5.995             0.124
L13                 0.520             5.995             0.124
L13_5               0.526             5.952             0.128
L14                 0.549             4.023             0.135
L14_5               0.581             4.023             0.136
L15                 0.581             3.192             0.152
L15_5               0.600             2.200             0.177
L16                 0.804             4.376             0.163
L16_5               0.493             4.376             0.151
L17                 0.493             3.418             0.153
L17_5               0.826             2.981             0.157
L18                 0.540             3.834             0.129
L18_5               0.500             3.834             0.134
L19                 0.438             4.172             0.124
L19_5               0.438             4.172             0.126
L20                 0.555             3.379             0.138
L20_5               0.528             2.749             0.130
L21                 0.486             3.113             0.138
L21_5               0.486             3.113             0.144
L22                 0.478             3.574             0.141
L22_5               0.426             3.574             0.104
L23                 0.521             5.111             0.125
L23_5               0.533             5.111             0.137
L24                 0.426             5.426             0.138
L24_5               0.426             5.426             0.135
L25                 0.422             5.003             0.127
L25_5               0.422             3.910             0.129
L26                 0.471             3.910             0.132
L26_5               0.379             3.264             0.103
L27                 0.434             3.863             0.112
L27_5               0.453             4.071             0.119
L28                 0.402             4.071             0.127
L28_5               0.231             3.957             0.112
L29                 0.344             3.386             0.107
L29_5               0.344             3.821             0.122
L30                 0.450             3.813             0.165
L30_5               0.497             4.925             0.160
L31                 0.497             4.925             0.162
L31_5               0.511             3.267             0.126
L32                 0.511             5.446             0.125
L32_5               0.550             5.446             0.132
L33                 0.538             2.890             0.128
L33_5               0.476             3.837             0.119
L34                 0.476             5.986             0.118
L34_5               0.428             5.986             0.121
L35                 0.428             3.586             0.126
L35_5               0.540             3.586             0.124
L36                 0.556             3.501             0.121
L36_5               0.569             2.076             0.128
L37                 0.641             2.755             0.133
L37_5               0.435             3.217             0.135
L38                 0.604             3.217             0.139
L38_5               0.447             4.066             0.115
L39                 0.447             4.066             0.115
L39_5               0.372             2.008             0.118
L40                 0.372             2.266             0.112
L40_5               0.763             2.266             0.126
L41                 0.494             1.764             0.112
L43                 0.482             3.007             0.108
L45                 0.546             2.534             0.126
L47                 0.651             1.036             0.125
