theta_maj	theta_min	sigma	V_LSR	d1	l	b	T_peak
1.303714781169563741e+00 8.945056313261187109e-01 2.709515990129999774e-01 7.787005591070000321e+01 4.309999999999999609e+00 2.800400000000000134e+01 1.539999999999999980e-01 9.767490625381469727e-01
2.024776817281795704e+00 1.442271596712176196e+00 4.855641945240000146e-01 9.473601984219999395e+01 8.269999999999999574e+00 2.800799999999999912e+01 -5.500000000000000028e-02 2.048993349075317383e+00
6.708538478021357498e-01 4.471920153519715613e-01 5.359249331190000243e-01 2.791884347759999940e+01 1.253999999999999915e+01 2.801000000000000156e+01 8.599999999999999312e-02 8.460173010826110840e-01
7.280369803882600355e-01 5.384918959789012360e-01 3.117370845590000106e-01 7.465772635540000124e+01 4.299999999999999822e+00 2.803000000000000114e+01 9.500000000000000111e-02 7.282116413116455078e-01
9.219551393007873186e-01 5.099014877988070626e-01 5.730252700110000097e-01 1.000748420809999999e+02 8.269999999999999574e+00 2.803300000000000125e+01 2.000000000000000042e-03 6.460623741149902344e-01
1.389191030664965298e+00 1.118075823326019291e+00 5.471040966219999913e-01 9.387901893369999584e+01 8.269999999999999574e+00 2.803399999999999892e+01 -6.300000000000000044e-02 1.047271847724914551e+00
3.794562745241757185e+00 2.213703911061774665e+00 5.207102856080000342e-01 7.725497389859999942e+01 4.309999999999999609e+00 2.804700000000000060e+01 -1.160000000000000059e-01 1.251494646072387695e+00
1.431782757686616003e+00 4.999997154058724580e-01 7.937519669189999627e-01 9.996705706529999702e+01 8.259999999999999787e+00 2.805300000000000082e+01 -1.000000000000000021e-03 6.531572341918945312e-01
1.118068845355576935e+00 8.062093492768813707e-01 4.831026869050000228e-01 7.328503933589999519e+01 4.299999999999999822e+00 2.807600000000000051e+01 1.160000000000000059e-01 1.072196125984191895e+00
1.392912774454102776e+00 6.324268528811806123e-01 3.066278732819999742e-01 7.679090449429999410e+01 4.320000000000000284e+00 2.808200000000000074e+01 -1.069999999999999979e-01 6.153641939163208008e-01
4.382747577164852082e+00 3.605718412495703129e-01 6.338070848869999940e-01 4.537801282960000293e+01 1.083000000000000007e+01 2.808800000000000097e+01 -7.000000000000000666e-02 4.575824439525604248e-01
