l,b,Linear Size (pc),sigma (km/s)
9.612,0.142,2.3864112030245943,0.314694522311
9.623,0.191,5.3133799197117835,0.83105567403
9.629,0.266,1.1929340623080675,0.333130734574
9.634,0.298,0.7400928202292074,0.224414712996
9.649,-0.017,1.8243493536347024,0.319746510224
9.662,0.264,2.586392766502899,0.330921630441
9.69,-0.003,1.487332862537587,0.428652790448
9.698,-0.111,5.5215555638074925,0.650161586359
9.701,-0.224,3.832945962848816,0.549691520273
9.769,-0.393,1.01819548360639,0.327443958198
9.784,-0.163,2.455094126644898,0.425492908399
9.846,-0.14,1.7822446725226637,0.521767468595
9.846,-0.036,14.956630711376638,0.373695002576
9.882,-0.11,9.678111389103348,0.29584691667
9.916,-0.06,3.1225168590738352,0.181660385123
9.921,-0.085,5.735973412226136,0.209571396864
9.974,-0.024,3.478204773490808,0.703356672133
9.979,-0.366,2.3681994861208207,0.438274421069
10.055,-0.206,1.8136787647113306,0.598104880914
10.079,-0.195,0.7386774091771147,0.831646897704
10.103,-0.008,2.032830532112983,0.958851494235
10.107,-0.074,3.1180252139094327,0.560441137319
10.124,-0.063,2.355183101539117,0.35060572946
10.132,-0.375,0.655976283398077,1.50183907345
10.143,-0.319,0.3448182892975937,0.708016328305
10.153,-0.344,1.5679842653772182,1.56612403333
10.223,-0.21,1.776070040005097,0.685538415779
10.271,-0.094,1.1752516785384073,0.533025285963
10.272,-0.126,1.1654606868935338,1.00721966074
10.308,-0.264,2.911683160094833,1.12043964567
10.319,-0.149,52.544389598462075,0.902078736479
10.32,-0.2,0.8914927249497863,0.624978495181
10.323,-0.23,1.5481864064634943,0.662196483455
10.344,-0.056,1.925601098864317,0.5452920479
10.353,-0.207,0.2931242661234519,0.613357202656
10.36,-0.144,2.7830814526840517,1.09653248252
10.375,-0.083,3.3394636161864915,0.861655521205
10.377,-0.051,6.523347790937978,0.929432719207
10.381,-0.044,2.5723233350413612,1.12917474554
10.386,-0.032,0.8887876381452223,0.687190054497
10.394,-0.02,2.572234926925376,0.480814750372
10.417,-0.023,5.5959670667145325,0.915929244107
10.425,-0.003,2.2656380481172027,0.726425817966
10.443,-0.001,5.6363183673067265,1.12670587964
10.445,-0.018,5.0210270500172705,1.17521226134
10.466,-0.365,2.6238119494128456,0.440540223644
10.475,0.029,7.407488657434128,1.54744533796
10.498,-0.327,1.8273256190935878,0.315178515462
10.498,-0.239,1.6875522892604184,0.298791008393
10.509,-0.032,3.1138500771736397,0.595976992854
10.528,-0.367,1.1320550588617786,0.475953412066
10.53,-0.031,2.58308901537232,0.670240383331
10.546,-0.383,2.6237286131179944,0.311238638444
10.566,-0.053,1.6364956071802024,0.376422133409
10.566,-0.026,2.905408698716139,0.92024859016
10.586,-0.37,0.7788693131458686,0.332862333023
10.586,-0.303,2.774249150982831,0.49437514233
10.615,-0.031,4.108568776583043,0.533925983886
10.622,-0.248,1.7382741788723752,0.321641667214
10.634,-0.292,1.5520217364993494,0.631450270426
10.636,-0.068,0.6512475115867292,0.629393238621
10.636,0.007,0.8905604337388614,0.498934553806
10.651,-0.011,1.0017395259396156,0.319850334511
10.658,-0.059,3.624878409456611,0.435777559047
10.661,0.077,8.565142874218104,0.693622986055
10.664,-0.283,1.0704335594564018,0.301370776589
10.666,-0.019,0.7670428487998864,0.451237594195
10.671,-0.4,0.6685291813847606,0.300525949573
10.682,-0.302,3.095952035906371,0.566666842615
10.682,-0.033,4.762306798477991,0.813624743214
10.69,-0.4,1.379358182466103,0.418589269186
10.701,-0.1,3.7111097308775296,0.6192296918
10.703,-0.321,0.9413672273503522,0.351607965752
10.706,-0.325,1.1272207600133253,1.80890178499
10.708,0.003,1.3448235646410804,0.544194076753
10.709,-0.173,10.669048194386647,0.637775367614
10.724,-0.33,2.7928678647864893,0.595025363426
10.728,-0.292,0.764519915285508,0.366257773832
10.74,0.005,1.9492922634175132,0.643671918684
10.744,-0.296,1.6010625623645423,0.423756620717
10.745,0.017,4.4475292940571025,0.554502925265
10.749,-0.362,1.8789446984579257,0.524086195336
10.752,-0.4,1.1639773715981705,0.222235649092
10.807,-0.094,7.4660679754496915,0.8149209333
10.81,-0.25,0.9188292532947017,0.399184952423
10.827,-0.008,3.1100828302962893,0.524104315817
10.833,-0.024,5.794381935647336,0.640898341341
10.858,0.128,0.38661852182748724,0.927571541305
10.885,0.12,3.3358518525588043,0.856729398793
10.937,-0.371,1.6041745055268084,0.292154385279
10.958,-0.228,0.8963833015083852,0.277059743291
10.959,0.019,9.499243941391638,1.20464329801
10.96,0.145,1.8217392673876698,0.478121559348
10.969,-0.025,4.63392599440812,0.474852657886
10.978,-0.363,8.540377861244666,0.474104780243
10.987,-0.194,0.748026101903686,0.311892474807
10.993,-0.156,4.458829837036952,0.41599991669
11.01,-0.392,2.074077407465102,0.515974905391
11.016,0.035,2.6463223646509277,0.547725684063
11.028,0.133,2.5525440276689166,0.308860156687
11.031,0.06,6.255260202860587,1.5796433347
11.047,0.131,0.3353133502128829,0.212953497488
11.054,-0.038,3.84638526730594,0.289519216565
11.056,-0.1,15.013548543400503,0.53998121385
11.086,0.011,1.1196788491988126,0.511691291937
11.098,0.073,4.55304028233343,0.895718846817
11.104,0.119,1.277353882748526,0.742151029885
11.106,0.137,0.7587725502961982,0.431765806115
11.115,0.053,6.705564530291089,0.705465636425
11.128,-0.344,1.5269421470896167,0.709112393782
11.148,0.142,1.1468121256507962,0.153398587609
11.15,-0.342,1.453316032828419,0.582442968003
11.161,-0.098,1.1272921934246876,0.337420960505
11.223,0.077,0.9453689254054839,0.301960673356
11.226,-0.063,6.9556728518567,0.44258309989
11.24,-0.315,3.528996237369179,0.458326439838
11.243,0.068,1.0153954631641027,0.434653377281
11.263,0.221,1.8474212692008654,0.247200644765
11.272,0.286,0.8225612161923128,0.322148906158
11.281,-0.351,1.3317465625989278,0.380810636669
11.283,0.321,1.0924021679994094,0.236854505844
11.3,-0.06,8.738028493073678,0.46337811121
11.396,0.013,0.8076047947153567,0.440610947925
11.465,0.026,0.7189949939548914,0.544172323923
11.466,-0.14,0.6632270255779164,0.764112735782
11.498,-0.198,0.40164903012320285,0.324443314435
11.501,0.297,0.8240238717085739,0.247864469706
11.547,0.264,2.164746505504892,0.373510123714
11.562,-0.109,0.6799951712692153,0.925319884423
11.724,-0.067,7.5155758086449085,0.692685391389
11.749,-0.144,5.437473751217888,1.01982925639
11.75,-0.082,2.191644851532194,0.484932816927
11.768,-0.075,2.7597887631767337,0.94499789557
11.802,-0.131,1.5191079321713112,0.377089070758
11.812,-0.092,5.766574831691216,0.416567669172
11.814,-0.284,1.3784115028969908,0.226274580859
11.821,-0.119,1.0296190712604083,0.47264684354
11.845,-0.101,10.325381154576794,0.63959572673
11.901,-0.104,1.2371440954179747,0.876513569689
11.912,-0.144,3.880584464534137,1.08223991071
11.925,-0.114,1.3815386815748931,0.900351369943
11.927,-0.111,1.050959173804429,0.701740899189
11.928,-0.053,1.6071603200610776,0.729066909797
11.935,-0.018,0.694178428365732,1.07681678653
11.94,-0.261,4.44743614083031,0.965840236663
11.941,-0.106,2.3483386183315247,0.744702730626
11.954,-0.179,0.8133298023922085,0.635483572431
11.977,-0.129,2.5791662606952697,0.671272880294
11.985,-0.348,1.2089163567130026,0.639375755495
12.0,-0.269,3.8148789792315716,0.829279559907
12.02,-0.011,2.6298900577538826,0.379890160494
12.02,-0.208,2.4451743524088725,0.745276532372
12.021,-0.28,1.1339438739457421,0.78197661453
12.03,-0.031,4.829066644912687,0.747018215436
12.048,-0.07,4.510114088882892,0.376449348354
12.054,-0.265,1.2932007357093493,0.78031222336
12.065,-0.018,3.008229866333764,0.603317368628
12.088,-0.047,3.8268071858185126,0.317689310742
12.109,-0.126,1.3998705665093176,0.719813718861
12.11,-0.297,1.0064819554993434,0.573984311682
12.114,-0.028,7.449149457738551,0.440921858588
12.148,-0.026,1.2520668222863263,0.671878896064
12.179,-0.11,3.0984193970464857,0.599843766655
12.199,-0.034,5.242279891897108,0.729798066917
12.202,-0.115,16.628564343782482,1.27749017047
12.221,0.14,5.2501647825703515,0.41512878643
12.242,-0.065,8.282751076082675,0.808824220586
12.245,-0.144,3.5945421353627705,0.188247074643
