RAMPS l,RAMPS b,RMS l,RMS b,Separation (deg),RMS Dispersion (km/s),RMS Size (pc),RAMPS Dispersion (km/s),RAMPS Size (pc)
10.323,-0.23,10.322,-0.229,0.0014142078898758852,0.806855710273618,0.34130883,0.662196483455,1.5481864064634945
10.443,-0.001,10.44,0.003,0.004999999999360372,1.571245330532835,0.31318964,1.12670587964,5.636318367306727
10.475,0.029,10.474,0.028,0.0014142134748856114,2.463033220835255,0.935448,1.54744533796,7.407488657434128
11.912,-0.144,11.904,-0.142,0.008246187078314397,1.5287792405184344,1.37144094,1.08223991071,3.880584464534137
13.191,-0.104,13.185,-0.106,0.006324545761857415,0.8493218002880191,0.49063145,0.724059179573,4.434374151679185
13.203,-0.139,13.202,-0.137,0.0022360666803059497,0.7219235302448161,0.41257644,0.873448830096,3.367770320980719
13.869,0.279,13.873,0.28,0.004123059453122944,1.1465844303888255,0.42663604,0.839999878789,2.670459007972069
14.612,0.011,14.608,0.014,0.004999999923479753,1.4863131505040337,0.35008396,0.770498789663,18.712828351931297
18.303,-0.387,18.301,-0.385,0.00282839503168173,0.7643896202592172,0.28070712,0.733254854647,2.8646261460616587
18.46,-0.005,18.459,-0.002,0.00316227765954263,1.3589148804608306,1.57215381,0.893986434146,5.662988331006824
18.612,-0.072,18.606,-0.075,0.006708199516223961,0.8493218002880191,0.66729755,0.585059296596,35.53362898124985
18.661,0.033,18.662,0.032,0.0014142134486059212,1.1465844303888255,1.0262536,0.759602822448,9.543905837846678
19.081,-0.29,19.08,-0.29,0.0009999871908660657,0.89178789030242,0.46469391,0.83794823809,3.7393081088758624
19.772,-0.114,19.769,-0.115,0.003162271977127405,0.5945252602016133,0.34189061,0.474625862279,2.505793887417111
19.926,-0.256,19.925,-0.258,0.0022360634786053393,1.1465844303888255,0.33815754,0.647579796046,4.289420832794781
20.732,-0.059,20.73,-0.059,0.001999998939625747,1.4438470604896323,0.23823744,1.1565603308,2.897181562874183
20.75,-0.096,20.749,-0.092,0.004123105299164605,1.189050520403227,0.23823744,0.996520681372,3.129321477154668
21.382,-0.246,21.387,-0.251,0.007071034557743005,0.934253980316821,0.93379963,0.794459042388,9.320290699763984
22.351,0.07,22.352,0.068,0.0022360676531845004,0.7219235302448161,0.40084395,0.662575936006,3.183224182901176
23.709,0.175,23.712,0.17,0.005830944899078246,1.4013809704752314,0.83383105,0.818109908103,10.918781304806936
24.137,0.125,24.143,0.129,0.007211090285899453,0.5520591701872124,0.3445086,0.338098918881,1.4891859682931126
24.158,0.086,24.161,0.085,0.0031622744912992015,0.5095930801728115,0.3905659,0.415729151571,3.011644532579199
25.713,0.041,25.711,0.045,0.004472135702931551,0.934253980316821,0.22568077,0.895439023304,3.134619049642138
28.202,-0.052,28.203,-0.049,0.0031622775373006838,1.2315166104176276,0.68077537,0.762279775029,15.66506647131254
30.857,0.041,30.857,0.04,0.0010000000000000072,0.5095930801728115,0.18054461,0.476426113741,1.7271203005783065
31.281,0.084,31.288,0.083,0.007071060452950358,0.5520591701872124,0.4584883,0.467583510307,5.352245499664785
31.407,0.31,31.413,0.306,0.007211030418409752,1.78357578060484,0.93123012,0.885673538115,9.755464791957689
33.915,0.108,33.918,0.107,0.0031622726507519665,1.019186160345623,0.7228572,0.863818131375,5.447245407763797
34.413,0.232,34.411,0.233,0.0022360532494419033,1.061652250360024,0.77560493,0.646700029613,38.13203479593327
35.457,0.141,35.463,0.144,0.006708187334093148,0.934253980316821,1.62121695,0.582669774209,7.640084564711375
37.554,0.193,37.555,0.201,0.008062257015037398,0.89178789030242,0.84779368,0.763096078637,5.915864310932844
43.313,-0.21,43.306,-0.211,0.007071021044783686,0.7643896202592172,0.40103788,0.578882122786,8.47756714209023
45.464,0.046,45.467,0.046,0.002999999033144475,1.5287792405184344,1.27331465,1.10788480868,10.80587487044296
