l,b,Linear Size (pc),sigma (km/s)
10.283,-0.118,0.31784385,1.019186160345623
10.288,-0.166,0.12799081,0.7643896202592172
10.296,-0.148,0.19518599,1.78357578060484
10.323,-0.165,0.23358323,0.7219235302448161
10.346,-0.148,0.14825602,0.7643896202592172
10.3,-0.271,0.35294436,2.038372320691246
10.322,-0.229,0.34130883,0.806855710273618
10.322,-0.257,0.37233691,1.1890505204032267
10.44,0.003,0.31318964,1.5712453305328353
10.474,0.028,0.935448,2.463033220835255
10.625,-0.339,0.58914559,0.9767200703312219
10.625,-0.375,0.46561506,1.5712453305328353
10.63,-0.389,0.29694838,1.9109740506480428
10.99,-0.083,0.71931806,0.7219235302448161
11.072,-0.384,0.46323947,0.6369913502160143
11.108,-0.394,0.61052587,1.0616522503600239
11.118,-0.409,0.3848451,0.7219235302448161
11.501,-1.482,0.19857968,0.6794574402304153
11.508,-1.511,0.10859826,0.3821948101296086
11.904,-0.142,1.37144094,1.5287792405184344
11.937,-0.152,1.16045003,1.3589148804608306
11.918,-0.616,0.97374828,0.806855710273618
12.408,-1.128,0.39953495,1.019186160345623
12.43,-1.111,0.35580476,0.806855710273618
12.887,0.492,0.37350046,1.4438470604896323
12.915,0.494,0.17453293,0.5945252602016133
12.917,0.449,0.26412649,0.5945252602016133
13.185,-0.106,0.49063145,0.8493218002880191
13.202,-0.137,0.41257644,0.7219235302448161
13.332,-0.039,0.45800348,0.6369913502160143
13.661,-0.595,0.40443157,0.934253980316821
13.873,0.28,0.42663604,1.1465844303888257
14.328,-0.646,0.25011538,1.1890505204032267
14.428,-0.697,0.15412227,0.6369913502160143
14.608,0.014,0.35008396,1.4863131505040335
16.714,1.312,0.2474489,0.42466090014400953
16.804,0.812,0.19344066,0.25479654008640573
16.924,0.955,0.46716646,0.7643896202592172
17.444,0.808,0.09385993,0.5945252602016133
17.632,0.157,0.20798507,0.806855710273618
17.652,0.174,0.24958208,0.42466090014400953
18.301,-0.385,0.28070712,0.7643896202592172
18.459,-0.002,1.57215381,1.3589148804608306
18.566,-0.09,0.30494781,0.5095930801728115
18.606,-0.075,0.66729755,0.8493218002880191
18.649,-0.061,0.34261783,0.5945252602016133
18.662,0.032,1.0262536,1.1465844303888257
18.828,-0.483,1.01229097,0.7643896202592172
18.887,-0.476,0.61086524,1.2315166104176276
19.08,-0.29,0.46469391,0.89178789030242
19.769,-0.115,0.34189061,0.5945252602016133
19.886,-0.536,0.22568077,0.934253980316821
19.925,-0.258,0.33815754,1.1465844303888257
20.73,-0.059,0.23823744,1.4438470604896323
20.749,-0.092,0.23823744,1.1890505204032267
20.782,-0.049,0.63529985,0.934253980316821
21.375,-0.222,0.76401788,0.89178789030242
21.387,-0.251,0.93379963,0.934253980316821
22.352,0.068,0.40084395,0.7219235302448161
22.397,0.34,0.21932971,0.5520591701872124
22.412,0.316,0.73866212,0.5945252602016133
23.693,0.157,0.64853526,0.9767200703312219
23.712,0.17,0.83383105,1.4013809704752314
23.727,0.183,0.6838297,0.5945252602016133
24.143,0.129,0.3445086,0.5520591701872124
24.161,0.085,0.3905659,0.5095930801728115
24.183,0.122,0.21923275,0.7219235302448161
25.636,1.066,0.45989426,0.6794574402304153
25.651,1.051,0.46139718,1.2739827004320285
25.711,0.045,0.22568077,0.934253980316821
25.826,-0.178,0.2763438,1.2315166104176276
27.259,0.139,1.52658132,1.019186160345623
27.292,0.152,1.09839388,1.1465844303888257
28.196,-0.074,0.45194331,0.7643896202592172
28.203,-0.049,0.68077537,1.2315166104176276
28.285,-0.355,1.42845503,0.6794574402304153
28.315,-0.397,0.9448049,0.7219235302448161
28.337,0.115,0.77327782,0.8493218002880191
29.598,-0.616,0.85637489,0.6794574402304153
29.606,-0.583,0.38629954,1.1890505204032267
30.857,0.04,0.18054461,0.5095930801728115
30.876,0.061,0.48461976,0.6794574402304153
31.281,0.06,0.66516437,1.6986436005760381
31.288,0.083,0.4584883,0.5520591701872124
31.413,0.306,0.93123012,1.78357578060484
32.038,0.057,0.5677653,1.2315166104176276
33.39,0.002,1.2942586,1.3589148804608306
33.918,0.107,0.7228572,1.019186160345623
34.411,0.233,0.77560493,1.0616522503600239
35.199,-0.742,0.3882388,1.2315166104176276
35.222,-0.765,0.26131457,0.4671269901584105
35.463,0.144,1.62121695,0.934253980316821
37.555,0.201,0.84779368,0.89178789030242
43.178,-0.518,0.69173216,1.1890505204032267
43.306,-0.211,0.40103788,0.7643896202592172
45.467,0.046,1.27331465,1.5287792405184344
48.949,-0.284,0.49683706,1.0616522503600239
48.989,-0.301,0.70045881,1.2315166104176276
53.584,0.076,0.26897463,0.3821948101296086
53.614,0.035,0.14185648,0.5095930801728115
58.475,0.435,0.55036049,0.934253980316821
58.492,0.44,0.41597014,1.78357578060484
59.787,0.067,0.35730768,0.5945252602016133
75.751,0.342,0.2097304,1.6561775105616372
75.791,0.335,0.20837292,1.019186160345623
78.982,0.348,0.19208318,0.6794574402304153
